Name,Release_date,Players,Genre,Metascore,Rating_Metascore,User_score,Rating_User_score,Awards,Distributor,Developer,Rating,Consoles,Summary
The Legend of Zelda: Ocarina of Time,1998-11-23,1 Player,"Action Adventure, Fantasy",99,22,9.1,6446,#1 Best N64 Game of 1998,Nintendo,Nintendo,E,Nintendo 64,"As a young boy, Link is tricked by Ganondorf, the King of the Gerudo Thieves. The evil human uses Link to gain access to the Sacred Realm, where he places his tainted hands on Triforce and transforms the beautiful Hyrulean landscape into a barren wasteland. Link is determined to fix theAs a young boy, Link is tricked by Ganondorf, the King of the Gerudo Thieves. The evil human uses Link to gain access to the Sacred Realm, where he places his tainted hands on Triforce and transforms the beautiful Hyrulean landscape into a barren wasteland. Link is determined to fix the problems he helped to create, so with the help of Rauru he travels through time gathering the powers of the Seven Sages."
Tony Hawk's Pro Skater 2,2000-09-20,1-2,"Sports, Alternative, Skateboarding",98,19,7.4,723,#1 Best PS1 Game of 2000,Activision,Neversoft Entertainment,T,"PlayStation, iPhone/iPad, PC","As most major publishers' development efforts shift to any number of next-generation platforms, Tony Hawk 2 will likely stand as one of the last truly fantastic games to be released on the Play"
Grand Theft Auto IV,2008-04-29,1 Player,"Action Adventure, Modern, Open-World",98,64,7.7,4167,"#1 Best PS3 Game of 2008, #2 Most Discussed PS3 Game of 2008, #1 Most Shared PS3 Game of 2008",Rockstar Games,Rockstar North,M,"PlayStation 3, PC, Xbox 360","[Metacritic's 2008 PS3 Game of the Year; Also known as ""GTA IV""]  What does the American Dream mean today? For Niko Belic, fresh off the boat from Europe. It's the hope he can escape his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City,[Metacritic's 2008 PS3 Game of the Year; Also known as ""GTA IV""]  What does the American Dream mean today? For Niko Belic, fresh off the boat from Europe. It's the hope he can escape his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity. As they slip into debt and are dragged into a criminal underworld by a series of shysters, thieves and sociopaths, they discover that the reality is very different from the dream in a city that worships money and status, and is heaven for those who have them an a living nightmare for those who don't. [Rockstar Games]"
The House in Fata Morgana - Dreams of the Revenants Edition -,2021-04-09,No Online Multiplayer,"Adventure, Visual Novel",98,8,8.2,495,"#1 Best Switch Game of 2021, #9 Most Discussed Switch Game of 2021",Limited Run Games,HuneX,M,Switch,"A gothic suspense tale set in a cursed mansion. ‘The House in Fata Morgana’ is a full-length visual novel spanning nearly a millennium that deals in tragedy, human nature, and insanity. This version includes three games and more:  1: The House in Fata Morgana: the main storyline.  2:A gothic suspense tale set in a cursed mansion. ‘The House in Fata Morgana’ is a full-length visual novel spanning nearly a millennium that deals in tragedy, human nature, and insanity. This version includes three games and more:  1: The House in Fata Morgana: the main storyline.  2: A Requiem for Innocence: a prequel shedding light on the origins of Fata Morgana’s terrible curse.  3: Reincarnation: a sequel featuring the central cast members reincarnated in the present day. *The part including voices  4: Other additional short stories."
SoulCalibur,1999-09-08,1-2,"Action, Fighting, 3D",98,24,8.4,353,#1 Best Dreamcast Game of 1999,Namco,Namco,T,Dreamcast,"This is a tale of souls and swords, transcending the world and all its history, told for all eternity... The greatest weapons-based fighter returns, this time on Sega Dreamcast. Soul Calibur unleashes incredible graphics, fantastic fighters, and combos so amazing they'll make your he"
Super Mario Galaxy,2007-11-12,No Online Multiplayer,"Action, Platformer, 3D",97,73,9.1,3342,#1 Best Wii Game of 2007,Nintendo,Nintendo,E,Wii,"[Metacritic's 2007 Wii Game of the Year] The ultimate Nintendo hero is taking the ultimate step ... out into space. Join Mario as he ushers in a new era of video games, defying gravity across all the planets in the galaxy. When some creature escapes into space with Princess Peach, Mario[Metacritic's 2007 Wii Game of the Year] The ultimate Nintendo hero is taking the ultimate step ... out into space. Join Mario as he ushers in a new era of video games, defying gravity across all the planets in the galaxy. When some creature escapes into space with Princess Peach, Mario gives chase, exploring bizarre planets all across the galaxy. Mario, Peach and enemies new and old are here. Players run, jump and battle enemies as they explore all the planets in the galaxy. Since this game makes full use of all the features of the Wii Remote, players have to do all kinds of things to succeed: pressing buttons, swinging the Wii Remote and the Nunchuk, and even pointing at and dragging things with the pointer. Since he's in space, Mario can perform mind-bending jumps unlike anything he's done before. He'll also have a wealth of new moves that are all based around tilting, pointing and shaking the Wii Remote. Shake, tilt and point! Mario takes advantage of all the unique aspects of the Wii Remote and Nunchuk controller, unleashing new moves as players shake the controller and even point at and drag items with the pointer. [Nintendo]"
Super Mario Galaxy 2,2010-05-23,No Online Multiplayer,"Action, Platformer, 3D",97,87,9.1,2664,#1 Best Wii Game of 2010,Nintendo,Nintendo EAD Tokyo,E,Wii,"Super Mario Galaxy 2, the sequel to the galaxy-hopping original game, includes the gravity-defying, physics-based exploration from the first game, but is loaded with entirely new galaxies and features to challenge players. On some stages, Mario can pair up with his dinosaur buddy Yoshi andSuper Mario Galaxy 2, the sequel to the galaxy-hopping original game, includes the gravity-defying, physics-based exploration from the first game, but is loaded with entirely new galaxies and features to challenge players. On some stages, Mario can pair up with his dinosaur buddy Yoshi and use his tongue to grab items and spit them back at enemies. Players can also have fun with new items such as a drill that lets our hero tunnel through solid rock. [Nintendo]"
Red Dead Redemption 2,2018-10-26,Up to 32,"Action Adventure, Open-World",97,33,8.0,3808,"#1 Best Xbox One Game of 2018, #1 Most Discussed Xbox One Game of 2018, #2 Most Shared Xbox One Game of 2018",Rockstar Games,Rockstar Games,M,"Xbox One, PC, PlayStation 4, Stadia","Developed by the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America’s unforgiving heartland. The game’s vast and atmospheric world also provides the foundation for a brand new online multiplayer experience. America, 1899. The endDeveloped by the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America’s unforgiving heartland. The game’s vast and atmospheric world also provides the foundation for a brand new online multiplayer experience. America, 1899. The end of the Wild West era has begun. After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang has to rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal fissures threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang that raised him. [Rockstar]"
Grand Theft Auto V,2014-11-18,Up to 30,"Action Adventure, Modern, Open-World",97,14,7.9,1479,"#1 Best Xbox One Game of 2014, #7 Most Discussed Xbox One Game of 2014, #5 Most Shared Xbox One Game of 2014",Rockstar Games,Rockstar North,M,"Xbox One, PC, PlayStation 3, PlayStation 4, Xbox 360","Grand Theft Auto 5 melds storytelling and gameplay in unique ways as players repeatedly jump in and out of the lives of the game's three protagonists, playing all sides of the game's interwove"
The Legend of Zelda: Breath of the Wild,2017-03-03,No Online Multiplayer,"Action Adventure, Open-World",97,109,8.7,17259,"#1 Best Switch Game of 2017, #1 Most Discussed Switch Game of 2017, #1 Most Shared Switch Game of 2017",Nintendo,Nintendo,E10+,"Switch, Wii U","Forget everything you know about The Legend of Zelda games. Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild, a boundary-breaking new game in the acclaimed series. Travel across fields, through forests and to mountain peaks as you discoverForget everything you know about The Legend of Zelda games. Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild, a boundary-breaking new game in the acclaimed series. Travel across fields, through forests and to mountain peaks as you discover what has become of the ruined kingdom of Hyrule in this open-air adventure. Explore the wilds of Hyrule any way you like - Climb up towers and mountain peaks in search of new destinations, then set your own path to get there and plunge into the wilderness. Along the way, you'll battle towering enemies, hunt wild beasts and gather ingredients for the food and elixirs you'll need to sustain you on your journey. More than 100 Shrines of Trials to discover and explore - Shrines dot the landscape, waiting to be discovered in any order you want. Search for them in various ways, and solve a variety of puzzles inside. Work your way through the traps and devices inside to earn special items and other rewards that will help you on your adventure.*    Be prepared and properly equipped - With an entire world waiting to be explored, you'll need a variety of outfits and gear to reach every corner. You may need to bundle up with warmer clothes or change into something better suited to the desert heat. Some clothing even has special effects that, for example, can make you faster and stealthier.*    Battling enemies requires strategy - The world is inhabited with enemies of all shapes and sizes. Each one has its own attack method and weaponry, so you must think quickly and develop the right strategies to defeat them.*    amiibo compatibility - Tap the Wolf Link amiibo (sold separately) to make Wolf Link appear in game. Wolf Link will attack enemies on his own and help you find items you're searching for."
